"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.355869115E2,6.501737080E1,2.551152301E1,1.822109497E1,1.509999990E0,2.541999969E2,3.790092468E0,2.500000000E0
1.365867230E2,6.501736428E1,2.551149037E1,1.836630351E1,1.730000019E0,2.516999969E2,3.790092468E0,2.500000000E0
1.375873536E2,6.501735503E1,2.551145722E1,1.855637390E1,1.889999986E0,2.401999969E2,3.790092468E0,2.500000000E0
1.385866190E2,6.501734270E1,2.551143118E1,1.839970383E1,1.850000024E0,2.276999969E2,3.790092468E0,2.500000000E0
1.395873820E2,6.501732918E1,2.551141400E1,1.819939304E1,1.690000057E0,2.168000031E2,3.790092468E0,2.500000000E0
1.405868016E2,6.501731431E1,2.551140492E1,1.807763405E1,1.690000057E0,2.123000031E2,3.790092468E0,2.500000000E0
1.415873586E2,6.501729919E1,2.551139444E1,1.830994025E1,1.750000000E0,2.063000031E2,3.790092468E0,2.500000000E0
1.425872745E2,6.501728616E1,2.551138269E1,1.816016579E1,1.539999962E0,2.076000061E2,3.790092468E0,2.500000000E0
1.435873256E2,6.501727318E1,2.551137565E1,1.827009538E1,1.480000019E0,1.996000061E2,3.790092468E0,2.500000000E0
1.445867635E2,6.501725918E1,2.551136844E1,1.822224946E1,1.559999943E0,1.990000000E2,3.790092468E0,2.500000000E0
1.455871728E2,6.501724543E1,2.551136314E1,1.820479874E1,1.559999943E0,1.958000031E2,3.790092468E0,2.500000000E0
1.465865678E2,6.501723180E1,2.551136128E1,1.806967182E1,1.539999962E0,1.870000000E2,3.790092468E0,2.500000000E0
1.475866355E2,6.501721760E1,2.551136154E1,1.807382708E1,1.559999943E0,1.846000061E2,3.790092468E0,2.500000000E0
1.485871722E2,6.501720390E1,2.551135664E1,1.790006526E1,1.539999962E0,1.901999969E2,3.790092468E0,2.500000000E0
1.495867835E2,6.501718976E1,2.551135556E1,1.797251899E1,1.559999943E0,1.868000031E2,3.790092468E0,2.500000000E0
1.505869456E2,6.501717596E1,2.551135227E1,1.793370576E1,1.519999981E0,1.890000000E2,3.790092468E0,2.500000000E0
1.515874436E2,6.501716255E1,2.551134925E1,1.781286112E1,1.529999971E0,1.888000031E2,3.790092468E0,2.500000000E0
1.525872446E2,6.501714768E1,2.551134699E1,1.758880645E1,1.769999981E0,1.871999969E2,3.790092468E0,2.500000000E0
1.535866238E2,6.501713270E1,2.551134650E1,1.754163149E1,1.799999952E0,1.833999939E2,3.790092468E0,2.500000000E0
1.545868146E2,6.501711732E1,2.551134840E1,1.766486657E1,1.919999957E0,1.793000031E2,3.790092468E0,2.500000000E0
1.555872413E2,6.501710167E1,2.551134874E1,1.763282847E1,1.940000057E0,1.808000031E2,3.790092468E0,2.500000000E0
1.565873834E2,6.501708319E1,2.551134331E1,1.774373634E1,2.049999952E0,1.868000031E2,3.790092468E0,2.500000000E0
1.575865825E2,6.501706466E1,2.551134409E1,1.763815182E1,2.009999990E0,1.795000000E2,3.790092468E0,2.500000000E0
1.585873096E2,6.501704425E1,2.551134631E1,1.769351750E1,2.200000048E0,1.778000031E2,3.790092468E0,2.500000000E0
1.595868229E2,6.501702494E1,2.551134324E1,1.768607822E1,2.099999905E0,1.841999969E2,3.790092468E0,2.500000000E0
1.605868172E2,6.501700541E1,2.551134320E1,1.773082373E1,2.130000114E0,1.798999939E2,3.790092468E0,2.500000000E0
1.615869471E2,6.501698563E1,2.551134269E1,1.783489556E1,2.130000114E0,1.798999939E2,3.790092468E0,2.500000000E0
1.625870432E2,6.501696543E1,2.551134294E1,1.766778824E1,2.230000019E0,1.811000061E2,3.790092468E0,2.500000000E0
1.635871521E2,6.501694563E1,2.551134294E1,1.778553189E1,2.190000057E0,1.811999969E2,3.790092468E0,2.500000000E0
1.645865384E2,6.501692766E1,2.551134602E1,1.815272524E1,2.049999952E0,1.788000031E2,3.790092468E0,2.500000000E0
1.655873766E2,6.501690959E1,2.551135208E1,1.832204232E1,2.059999943E0,1.773000031E2,3.790092468E0,2.500000000E0
1.665866484E2,6.501689126E1,2.551135298E1,1.859078633E1,1.990000010E0,1.846000061E2,3.790092468E0,2.500000000E0
1.675868170E2,6.501687348E1,2.551135325E1,1.886856343E1,1.960000038E0,1.846000061E2,3.790092468E0,2.500000000E0
1.685867401E2,6.501685512E1,2.551135173E1,1.906522521E1,2.029999971E0,1.828999939E2,3.790092468E0,2.500000000E0
1.695874357E2,6.501683666E1,2.551135174E1,1.869773890E1,1.960000038E0,1.793000031E2,3.790092468E0,2.500000000E0
1.705869411E2,6.501681782E1,2.551135297E1,1.836138052E1,1.960000038E0,1.768999939E2,3.790092468E0,2.500000000E0
1.715873306E2,6.501680051E1,2.551135297E1,1.836797829E1,1.950000048E0,1.778999939E2,3.790092468E0,2.500000000E0
