"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.670682656E0,-1.155774146E-1,-1.634979248E-1,-4.331111908E-2
1.675667083E0,-1.130826771E-1,-1.497669220E-1,-2.322769165E-2
1.680651510E0,-8.676427603E-2,-1.215679646E-1,1.555061340E-2
1.685635938E0,-1.175744459E-1,-1.264576912E-1,9.184360504E-2
1.690620365E0,-1.196794361E-1,-1.024301052E-1,2.053394318E-1
1.695606146E0,-8.878512681E-2,-9.740614891E-2,3.130664825E-1
1.700589375E0,-5.364987999E-2,-1.112747192E-1,3.818521500E-1
1.705572604E0,-1.408631448E-2,-1.299252510E-1,4.311294556E-1
1.710555885E0,1.561552286E-3,-1.297206879E-1,4.801101685E-1
1.715539271E0,3.627516702E-2,-1.490015984E-1,5.478677750E-1
1.720522813E0,4.228305072E-2,-1.545615196E-1,5.963325500E-1
1.725506510E0,6.271495670E-2,-1.752011776E-1,6.352396011E-1
1.730490417E0,6.430882961E-2,-2.108440399E-1,6.314477921E-1
1.735474531E0,3.763810918E-2,-2.519176006E-1,6.043272018E-1
1.740458854E0,2.128265565E-3,-2.841298580E-1,5.683174133E-1
1.745443385E0,-5.646776035E-2,-3.217027187E-1,4.854688644E-1
1.750428125E0,-9.985773265E-2,-3.501498699E-1,4.178276062E-1
1.755413073E0,-1.234274358E-1,-3.740489483E-1,3.461790085E-1
1.760398177E0,-1.416061074E-1,-4.025921822E-1,2.704229355E-1
1.765383385E0,-1.593144089E-1,-4.118003845E-1,2.047634125E-1
1.770368698E0,-2.050660253E-1,-4.016869068E-1,1.585550308E-1
1.775354063E0,-2.783337831E-1,-3.866565228E-1,7.940196991E-2
1.780339427E0,-3.217301369E-1,-3.714964390E-1,1.981544495E-2
1.785324688E0,-3.497792780E-1,-3.657510281E-1,-4.883861542E-2
1.790309115E0,-3.770704865E-1,-3.550448418E-1,-7.427215576E-2
1.795293542E0,-4.041261375E-1,-3.539071083E-1,-7.574462891E-2
1.800277969E0,-4.361737072E-1,-3.480122089E-1,-7.245540619E-2
1.805262396E0,-4.592948556E-1,-3.421983719E-1,-4.068470001E-2
1.810246823E0,-5.065870285E-1,-3.365645409E-1,-5.661010742E-2
1.815231250E0,-5.256240368E-1,-3.169140816E-1,-1.008186340E-1
1.820215677E0,-5.116190910E-1,-3.069608212E-1,-1.541366577E-1
1.825200104E0,-4.793848395E-1,-2.826867104E-1,-1.548404694E-1
1.830184531E0,-3.907445371E-1,-2.439656258E-1,-1.651926041E-1
1.835168958E0,-2.699591517E-1,-2.002174854E-1,-1.899433136E-1
1.840153385E0,-1.836779416E-1,-1.891775131E-1,-2.338390350E-1
1.845137813E0,-1.363717765E-1,-1.912870407E-1,-2.588520050E-1
1.850122240E0,-1.041687280E-1,-2.108948231E-1,-2.652606964E-1
1.855106667E0,-1.013847888E-1,-2.285714149E-1,-2.343473434E-1
1.860091094E0,-8.991616964E-2,-2.917740345E-1,-2.091808319E-1
1.865075521E0,-8.425033092E-2,-3.713972569E-1,-1.850595474E-1
1.870059948E0,-7.992564142E-2,-4.292266369E-1,-1.002836227E-1
1.875044375E0,-5.340687931E-2,-4.893867970E-1,9.220981598E-2
